4.09    5.13
4.10    6.13
4.11    7.13
4.12    8.13
4.13    9.13
4.14    10.13
4.15    11.13
4.16    12.13
4.17    13.13
4.18    14.13
4.19    15.13
4.20    16.13
4.21    17.13
4.22    18.13
4.23    19.13
4.24    20.13
4.25    21.13
4.26    22.13
4.27    23.23
4.28    24.23
4.29    25.23
4.30    26.23
4.31    27.23
4.32    28.23
4.335	29.33
4.3353	31.04
4.3356	32.84
4.3359	34.71
4.3362	36.66
4.3365	38.66
4.3368	40.72
4.3371	42.83
4.3374	45.00
4.3377	47.20
4.338	49.45
4.3383	51.74
4.3386	54.07
4.3389	56.43
4.3392	58.82
4.3395	61.25
4.3398	63.70
4.3401	66.17
4.3404	68.67
4.3407	71.19
4.341	73.74
4.3413	76.30
4.3416	78.88
4.3419	81.47
4.3422	84.09
4.3425	86.71
4.3428	89.35
4.3431	92.01
4.3434	94.68
4.3437	97.35
4.344	100.0
4.3443	102.7
4.3446	105.4
4.3449	108.1
4.3452	110.8
4.3455	113.6
4.3458	116.3
4.3461	119.1
4.3464	121.8
4.3467	124.6
4.347	127.4
4.3473	130.1
4.3476	132.9
4.3479	135.7
4.3482	138.5
4.3485	141.3
4.3488	144.1
4.3491	146.9
4.3494	149.7
4.3497	152.5
4.35	155.3
4.3503	158.2
4.3506	161.0
4.3509	163.8
4.3512	166.6
4.3515	169.5
4.3518	172.3
4.3521	175.2
4.3524	178.08
4.3527	180.93
4.353	183.79
4.3533	186.65
4.3536	189.52
4.3539	192.39
4.3542	195.26
4.3545	198.14
4.3548	201.02
4.3551	203.90
4.3554	206.79
4.3557	209.68
4.356	212.57
4.3563	215.47
4.3566	218.37
4.3569	221.28
4.3572	224.19
4.3575	227.10
4.3578	230.02
4.3581	232.94
4.3584	235.86
4.3587	238.79
4.359	241.72
4.3593	244.65
4.3596	247.59
4.3599	250.53
4.3602	253.48
4.3605	256.42
4.3608	259.38
4.3611	262.33
4.3614	265.29
4.3617	268.25
4.362	271.22
4.3623	274.19
4.3626	277.16
4.3629	280.14
